end_id,end_label,start_id,start_label,rel_id,surface_text,weight,dataset
/c/en/athlete/n/wn/person,athlete,/c/en/acrobat/n/wn/person,acrobat,/r/IsA,[[acrobat]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/weightlifter/n/wn/person,weightlifter,/r/IsA,[[weightlifter]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/vaulter/n/wn/person,vaulter,/r/IsA,[[vaulter]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/basketball_player/n/wn/person,basketball player,/r/IsA,[[basketball player]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/sharpshooter/n/wn/person,sharpshooter,/r/IsA,[[sharpshooter]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/sport/n/wn/person,sport,/r/IsA,[[sport]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/sporting_event,a sporting event,/c/en/athlete,an athlete,/r/AtLocation,*Something you find at [[a sporting event]] is [[an athlete]],2.0,/d/conceptnet/4/en
/c/en/athlete/n/wn/person,athlete,/c/en/lacrosse_player/n/wn/person,lacrosse player,/r/IsA,[[lacrosse player]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/football_player/n/wn/person,football player,/r/IsA,[[football player]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/hockey_player/n/wn/person,hockey player,/r/IsA,[[hockey player]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/olympian/n/wn/person,Olympian,/r/IsA,[[Olympian]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/ballplayer/n/wn/baseball,ballplayer,/r/IsA,[[ballplayer]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/professional/n/wn/person,professional,/r/IsA,[[professional]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/play_sport,play a sport,/c/en/athlete,an athlete,/r/CapableOf,An activity [[an athlete]] can do is [[play a sport]],2.0,/d/conceptnet/4/en
/c/en/athlete/n/wn/person,athlete,/c/en/amateur/n/wn/person,amateur,/r/IsA,[[amateur]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/runner/n/wn/person,runner,/r/IsA,[[runner]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/letterman/n/wn/person,letterman,/r/IsA,[[letterman]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/climber/n/wn/person,climber,/r/IsA,[[climber]] is a type of [[athlete]],2.0,/d/wordnet/3.1
